Serial,Match Number,Date,Date_STD,Venue,Venue_Country,Score,Score_Transform,Result,Match_Type
1,1,22 Oct 1911 13:30 (+1:40),22-10-1911,"Helsingfors, Eläintarha Stadion",Finland,2-5 Finland vs Sweden,2-5 Finland vs Sweden,Lost,Friendly International
2,2,27 Jun 1912 20:00 (+1:00),27-06-1912,"Solna, Råsunda Idrottsplats",Sweden,7-1 Sweden vs Finland,1-7 Finland vs Sweden,Lost,Friendly International
3,3,29 Jun 1912 11:00 (+1:00),29-06-1912,"Traneberg, Tranebergs Idrottsplats",Sweden,3-2 Finland vs Italy,3-2 Finland vs Italy,Won,"V. Olympic Games Final Tournament 1912, First round"
4,4,30 Jun 1912 10:00 (+1:00),30-06-1912,"Traneberg, Tranebergs Idrottsplats",Sweden,2-1 Finland vs Russia,2-1 Finland vs Russia,Won,"V. Olympic Games Final Tournament 1912, Quarterfinal"
5,5,02 Jul 1912 15:00 (+1:00),02-07-1912,"Stockholm, Stockholms Olympiastadion",Sweden,0-4 Finland vs Great Britain*,0-4 Finland vs Great Britain*,Lost,"V. Olympic Games Final Tournament 1912, Semifinal"
6,6,04 Jul 1912 15:00 (+1:00),04-07-1912,"Solna, Råsunda Idrottsplats",Sweden,0-9 Finland vs Netherlands,0-9 Finland vs Netherlands,Lost,"V. Olympic Games Final Tournament 1912, For 3rd place"
7,7,24 May 1914 14:00 (+1:00),24-05-1914,"Solna, Råsunda Idrottsplats",Sweden,4-3 Sweden vs Finland,3-4 Finland vs Sweden,Lost,Friendly International
8,8,29 May 1919 13:30 (+1:00),29-05-1919,"Stockholm, Stockholms Olympiastadion",Sweden,1-0 Sweden vs Finland,0-1 Finland vs Sweden,Lost,Friendly International
9,9,28 Sep 1919 13:00 (+1:40),28-09-1919,"Helsinki, Töölön Pallokenttä",Finland,3-3 Finland vs Sweden,3-3 Finland vs Sweden,Draw,Friendly International
10,10,30 May 1920 14:00 (+1:00),30-05-1920,"Stockholm, Stockholms Olympiastadion",Sweden,4-0 Sweden vs Finland,0-4 Finland vs Sweden,Lost,Friendly International
11,11,19 Sep 1920 14:00 (+1:40),19-09-1920,"Helsinki, Töölön Pallokenttä",Finland,1-0 Finland vs Sweden,1-0 Finland vs Sweden,Won,Friendly International
12,12,17 Oct 1920 13:00 (+1:40),17-10-1920,"Helsinki, Töölön Pallokenttä",Finland,6-0 Finland vs Estonia,6-0 Finland vs Estonia,Won,Friendly International
13,13,25 May 1921 19:00 (+1:00),25-05-1921,"Kristiania, Gressbanen ved Holmen i Aker",Norway,3-2 Norway vs Finland,2-3 Finland vs Norway,Lost,Friendly International
14,14,29 May 1921 13:30 (+1:00),29-05-1921,"Stockholm, Stockholms Olympiastadion",Sweden,0-3 Sweden vs Finland,3-0 Finland vs Sweden,Won,Friendly International
15,15,31 Jul 1921 13:00 (+2:00),31-07-1921,"Helsinki, Töölön Pallokenttä",Finland,2-3 Finland vs Austria,2-3 Finland vs Austria,Lost,Friendly International
16,16,28 Aug 1921 18:00 (+2:00),28-08-1921,"Tallinn, Tiigiveski Spordiplats",Estonia,0-3 Estonia vs Finland,3-0 Finland vs Estonia,Won,Friendly International
17,17,18 Sep 1921 13:00 (+2:00),18-09-1921,"Helsinki, Töölön Pallokenttä",Finland,3-3 Finland vs Germany,3-3 Finland vs Germany,Draw,Friendly International
18,18,05 Jun 1922 18:00 (+2:00),05-06-1922,"Helsinki, Töölön Pallokenttä",Finland,1-4 Finland vs Sweden,1-4 Finland vs Sweden,Lost,Friendly International
19,19,13 Jul 1922 18:30 (+2:00),13-07-1922,"Helsinki, Töölön Pallokenttä",Finland,1-5 Finland vs Hungary,1-5 Finland vs Hungary,Lost,Friendly International
20,20,11 Aug 1922 18:30 (+2:00),11-08-1922,"Helsinki, Töölön Pallokenttä",Finland,10-2 Finland vs Estonia,10-2 Finland vs Estonia,Won,Friendly International
21,21,26 Aug 1922 17:30 (+2:00),26-08-1922,"Helsinki, Töölön Pallokenttä",Finland,1-3 Finland vs Norway,1-3 Finland vs Norway,Lost,Friendly International
22,22,17 Jun 1923 12:30 (+1:00),17-06-1923,"Kristiania, Gressbanen ved Holmen i Aker",Norway,3-0 Norway vs Finland,0-3 Finland vs Norway,Lost,Friendly International
23,23,20 Jun 1923 19:15 (+1:00),20-06-1923,"Gävle, Strömvallen",Sweden,5-4 Sweden vs Finland,4-5 Finland vs Sweden,Lost,Friendly International
24,24,12 Aug 1923 16:00 (+1:00),12-08-1923,"Dresden, Ilgen Kampfbahn",Germany,1-2 Germany vs Finland,2-1 Finland vs Germany,Won,Friendly International
25,25,15 Aug 1923 17:00 (+1:00),15-08-1923,"Vienna, Hohe Warte",Austria,2-1 Austria vs Finland,1-2 Finland vs Austria,Lost,Friendly International
26,26,19 Aug 1923 17:00 (+1:00),19-08-1923,"Budapest, Üllői út",Hungary,3-1 Hungary vs Finland,1-3 Finland vs Hungary,Lost,Friendly International
27,27,23 Sep 1923 12:00 (+2:00),23-09-1923,"Helsinki, Töölön Pallokenttä",Finland,5-3 Finland vs Poland,5-3 Finland vs Poland,Won,Friendly International
28,28,30 Sep 1923 15:00 (+2:00),30-09-1923,"Tallinn, Spordi Staadion",Estonia,2-1 Estonia vs Finland,1-2 Finland vs Estonia,Lost,Friendly International
29,29,17 Jun 1924 19:00 (+2:00),17-06-1924,"Helsinki, Töölön Pallokenttä",Finland,2-4 Finland vs Turkey,2-4 Finland vs Turkey,Lost,Friendly International
30,30,28 Jul 1924 19:00 (+2:00),28-07-1924,"Helsinki, Töölön Pallokenttä",Finland,5-7 Finland vs Sweden,5-7 Finland vs Sweden,Lost,Friendly International
31,31,10 Aug 1924 17:00 (+1:00),10-08-1924,"Warsaw, Stadion Agrykola",Poland,1-0 Poland vs Finland,0-1 Finland vs Poland,Lost,Friendly International
32,32,14 Aug 1924 18:00 (+1:37),14-08-1924,"Rīga, L.S.B. Stadions",Latvia,0-2 Latvia vs Finland,2-0 Finland vs Latvia,Won,Friendly International
33,33,23 Aug 1924 17:30 (+2:00),23-08-1924,"Helsinki, Töölön Pallokenttä",Finland,2-0 Finland vs Norway,2-0 Finland vs Norway,Won,Friendly International
34,34,14 Sep 1924 13:30 (+2:00),14-09-1924,"Helsinki, Töölön Pallokenttä",Finland,4-0 Finland vs Estonia,4-0 Finland vs Estonia,Won,Friendly International
35,35,07 Jun 1925 12:30 (+1:00),07-06-1925,"Oslo, Gressbanen ved Holmen i Aker",Norway,1-0 Norway vs Finland,0-1 Finland vs Norway,Lost,Friendly International
36,36,09 Jun 1925 19:15 (+1:00),09-06-1925,"Gothenburg, Slottsskogsvallen",Sweden,4-0 Sweden vs Finland,0-4 Finland vs Sweden,Lost,Friendly International
37,37,26 Jun 1925 19:00 (+2:00),26-06-1925,"Helsinki, Töölön Pallokenttä",Finland,3-5 Finland vs Germany,3-5 Finland vs Germany,Lost,Friendly International
38,38,05 Jul 1925 19:00 (+2:00),05-07-1925,"Tallinn, Kalevi Staadion",Estonia,2-0 Estonia vs Finland,0-2 Finland vs Estonia,Lost,Friendly International
39,39,10 Jul 1925 19:00 (+2:00),10-07-1925,"Helsinki, Töölön Pallokenttä",Finland,1-2 Finland vs Austria,1-2 Finland vs Austria,Lost,Friendly International
40,40,09 Aug 1925 18:00 (+2:00),09-08-1925,"Helsinki, Töölön Pallokenttä",Finland,3-1 Finland vs Latvia,3-1 Finland vs Latvia,Won,Friendly International
41,41,30 Aug 1925 13:00 (+2:00),30-08-1925,"Helsinki, Töölön Pallokenttä",Finland,2-2 Finland vs Poland,2-2 Finland vs Poland,Draw,Friendly International
42,42,27 Sep 1925 14:00 (+1:00),27-09-1925,"Aarhus, Aarhus Stadion",Denmark,3-3 Denmark vs Finland,3-3 Finland vs Denmark,Draw,Friendly International
43,43,29 May 1926 18:00 (+2:00),29-05-1926,"Helsinki, Töölön Pallokenttä",Finland,2-5 Finland vs Norway,2-5 Finland vs Norway,Lost,Friendly International
44,44,20 Jun 1926 18:00 (+2:00),20-06-1926,"Helsinki, Töölön Pallokenttä",Finland,3-2 Finland vs Denmark,3-2 Finland vs Denmark,Won,Friendly International
45,45,26 Jul 1926 18:15 (+2:00),26-07-1926,"Helsinki, Töölön Pallokenttä",Finland,2-3 Finland vs Sweden,2-3 Finland vs Sweden,Lost,Friendly International
46,46,08 Aug 1926 16:00 (+1:00),08-08-1926,"Poznań, Stadion Warty",Poland,7-1 Poland vs Finland,1-7 Finland vs Poland,Lost,Friendly International
47,47,12 Aug 1926 18:30 (+2:00),12-08-1926,"Rīga, A.S.K. Stadions",Latvia,1-4 Latvia vs Finland,4-1 Finland vs Latvia,Won,Friendly International
48,48,05 Sep 1926 12:30 (+2:00),05-09-1926,"Helsinki, Töölön Pallokenttä",Finland,1-1 Finland vs Estonia,1-1 Finland vs Estonia,Draw,Friendly International
49,49,12 Jun 1927 13:15 (+1:00),12-06-1927,"Stockholm, Stockholms Olympiastadion",Sweden,6-2 Sweden vs Finland,2-6 Finland vs Sweden,Lost,Friendly International
50,50,15 Jun 1927 19:30 (+1:00),15-06-1927,"Aker, Ullevaal Stadion",Norway,3-1 Norway vs Finland,1-3 Finland vs Norway,Lost,Friendly International
51,51,10 Aug 1927 18:30 (+2:00),10-08-1927,"Tallinn, Kadrioru Staadion",Estonia,2-1 Estonia vs Finland,1-2 Finland vs Estonia,Lost,Friendly International
52,52,11 Sep 1927 13:00 (+2:00),11-09-1927,"Helsinki, Töölön Pallokenttä",Finland,3-1 Finland vs Latvia,3-1 Finland vs Latvia,Won,Friendly International
53,53,03 Jun 1928 14:30 (+2:00),03-06-1928,"Helsinki, Töölön Pallokenttä",Finland,0-6 Finland vs Norway,0-6 Finland vs Norway,Lost,Friendly International
54,54,12 Aug 1928 13:00 (+2:00),12-08-1928,"Helsinki, Töölön Pallokenttä",Finland,2-2 Finland vs Estonia,2-2 Finland vs Estonia,Draw,Friendly International
55,55,19 Aug 1928 17:00 (+2:00),19-08-1928,"Rīga, L.S.B. Stadions",Latvia,2-1 Latvia vs Finland,1-2 Finland vs Latvia,Lost,Friendly International
56,56,02 Sep 1928 13:00 (+2:00),02-09-1928,"Helsinki, Töölön Pallokenttä",Finland,2-3 Finland vs Sweden,2-3 Finland vs Sweden,Lost,Friendly International
57,57,14 Jun 1929 19:15 (+1:00),14-06-1929,"Stockholm, Stockholms Olympiastadion",Sweden,3-1 Sweden vs Finland,1-3 Finland vs Sweden,Lost,Nordic Football Championship 1929-1932
58,58,18 Jun 1929 19:30 (+1:00),18-06-1929,"Aker, Ullevaal Stadion",Norway,4-0 Norway vs Finland,0-4 Finland vs Norway,Lost,Nordic Football Championship 1929-1932
59,59,25 Jul 1929 19:00 (+2:00),25-07-1929,"Tallinn, Kadrioru Staadion",Estonia,1-1 Estonia vs Finland,1-1 Finland vs Estonia,Draw,Friendly International
60,60,27 Aug 1929 17:45 (+1:00),27-08-1929,"Helsinki, Töölön Pallokenttä",Finland,2-1 Finland vs Estonia,2-1 Finland vs Estonia,Won,Friendly International
61,61,15 Sep 1929 13:00 (+2:00),15-09-1929,"Helsinki, Töölön Pallokenttä",Finland,3-1 Finland vs Latvia,3-1 Finland vs Latvia,Won,Friendly International
62,62,13 Oct 1929 13:30 (+1:00),13-10-1929,"Copenhagen, Københavns Idrætspark",Denmark,8-0 Denmark vs Finland,0-8 Finland vs Denmark,Lost,Nordic Football Championship 1929-1932
63,63,20 Oct 1929 15:00 (+1:00),20-10-1929,"Altona, Altonaer Stadion",Germany,4-0 Germany vs Finland,0-4 Finland vs Germany,Lost,Friendly International
64,64,01 Jun 1930 13:00 (+1:00),01-06-1930,"Aker, Ullevaal Stadion",Norway,6-2 Norway vs Finland,2-6 Finland vs Norway,Lost,Nordic Football Championship 1929-1932
65,65,16 Jun 1930 19:00 (+2:00),16-06-1930,"Helsinki, Töölön Pallokenttä",Finland,1-6 Finland vs Denmark,1-6 Finland vs Denmark,Lost,Nordic Football Championship 1929-1932
66,66,04 Aug 1930 18:00 (+2:00),04-08-1930,"Rīga, J.K.S. Stadions",Latvia,3-0 Latvia vs Finland,0-3 Finland vs Latvia,Lost,Friendly International
67,67,06 Aug 1930 18:00 (+2:00),06-08-1930,"Tallinn, Kadrioru Staadion",Estonia,4-0 Estonia vs Finland,0-4 Finland vs Estonia,Lost,Friendly International
68,68,28 Sep 1930 13:00 (+2:00),28-09-1930,"Helsinki, Töölön Pallokenttä",Finland,4-4 Finland vs Sweden,4-4 Finland vs Sweden,Draw,Nordic Football Championship 1929-1932
69,69,17 Jun 1931 19:00 (+2:00),17-06-1931,"Helsinki, Töölön Pallokenttä",Finland,3-1 Finland vs Estonia,3-1 Finland vs Estonia,Won,Friendly International
70,70,03 Jul 1931 19:00 (+1:00),03-07-1931,"Stockholm, Stockholms Olympiastadion",Sweden,8-2 Sweden vs Finland,2-8 Finland vs Sweden,Lost,Nordic Football Championship 1929-1932
71,71,19 Aug 1931 18:30 (+2:00),19-08-1931,"Helsinki, Töölön Pallokenttä",Finland,4-0 Finland vs Latvia,4-0 Finland vs Latvia,Won,Friendly International
72,72,06 Sep 1931 15:15 (+2:00),06-09-1931,"Helsinki, Töölön Pallokenttä",Finland,4-4 Finland vs Norway,4-4 Finland vs Norway,Draw,Nordic Football Championship 1929-1932
73,73,11 Oct 1931 13:30 (+1:00),11-10-1931,"Copenhagen, Københavns Idrætspark",Denmark,2-3 Denmark vs Finland,3-2 Finland vs Denmark,Won,Nordic Football Championship 1929-1932
74,74,16 May 1932 14:00 (+1:00),16-05-1932,"Stockholm, Stockholms Olympiastadion",Sweden,7-1 Sweden vs Finland,1-7 Finland vs Sweden,Lost,Friendly International
75,75,10 Jun 1932 15:30 (+2:00),10-06-1932,"Helsinki, Töölön Pallokenttä",Finland,1-3 Finland vs Sweden,1-3 Finland vs Sweden,Lost,Nordic Football Championship 1929-1932
76,76,17 Jun 1932 19:30 (+1:00),17-06-1932,"Aker, Ullevaal Stadion",Norway,2-1 Norway vs Finland,1-2 Finland vs Norway,Lost,Nordic Football Championship 1929-1932
77,77,01 Jul 1932 19:00 (+2:00),01-07-1932,"Helsinki, Töölön Pallokenttä",Finland,1-4 Finland vs Germany,1-4 Finland vs Germany,Lost,Friendly International
78,78,17 Aug 1932 18:30 (+2:00),17-08-1932,"Tallinn, Kadrioru Staadion",Estonia,0-3 Estonia vs Finland,3-0 Finland vs Estonia,Won,Friendly International
79,79,30 Aug 1932 18:00 (+2:00),30-08-1932,"Helsinki, Töölön Pallokenttä",Finland,4-2 Finland vs Denmark,4-2 Finland vs Denmark,Won,Nordic Football Championship 1929-1932
80,80,14 Jul 1933 19:00 (+1:00),14-07-1933,"Stockholm, Stockholms Olympiastadion",Sweden,2-0 Sweden vs Finland,0-2 Finland vs Sweden,Lost,Nordic Football Championship 1933-1936
81,81,09 Aug 1933 18:30 (+2:00),09-08-1933,"Helsinki, Töölön Pallokenttä",Finland,9-2 Finland vs Lithuania,9-2 Finland vs Lithuania,Won,Friendly International
82,82,16 Aug 1933 18:15 (+2:00),16-08-1933,"Helsinki, Töölön Pallokenttä",Finland,2-1 Finland vs Estonia,2-1 Finland vs Estonia,Won,Friendly International
83,83,03 Sep 1933 13:00 (+2:00),03-09-1933,"Helsinki, Töölön Pallokenttä",Finland,1-5 Finland vs Norway,1-5 Finland vs Norway,Lost,Nordic Football Championship 1933-1936
84,84,08 Oct 1933 13:30 (+1:00),08-10-1933,"Copenhagen, Københavns Idrætspark",Denmark,2-0 Denmark vs Finland,0-2 Finland vs Denmark,Lost,Nordic Football Championship 1933-1936
85,85,03 Jul 1934 19:00 (+2:00),03-07-1934,"Helsinki, Töölön Pallokenttä",Finland,2-1 Finland vs Denmark,2-1 Finland vs Denmark,Won,Nordic Football Championship 1933-1936
86,86,08 Aug 1934 18:30 (+2:00),08-08-1934,"Tallinn, Kadrioru Staadion",Estonia,1-1 Estonia vs Finland,1-1 Finland vs Estonia,Draw,Turaani Turniir 1934
87,87,09 Aug 1934 18:30 (+2:00),09-08-1934,"Tallinn, Kadrioru Staadion",Estonia,4-3 Finland vs Hungary*,4-3 Finland vs Hungary*,Won,Turaani Turniir 1934
88,88,14 Aug 1934 18:00 (+2:00),14-08-1934,"Rīga, J.K.S. Stadions",Latvia,1-1 Latvia vs Finland,1-1 Finland vs Latvia,Draw,Friendly International
89,89,16 Aug 1934 17:00 (+2:00),16-08-1934,"Kaunas, Kariuomenės Stadionas",Lithuania,1-0 Lithuania vs Finland,0-1 Finland vs Lithuania,Lost,Friendly International
90,90,02 Sep 1934 13:15 (+1:00),02-09-1934,"Aker, Ullevaal Stadion",Norway,4-2 Norway vs Finland,2-4 Finland vs Norway,Lost,Nordic Football Championship 1933-1936
91,91,23 Sep 1934 14:15 (+2:00),23-09-1934,"Helsinki, Töölön Pallokenttä",Finland,5-4 Finland vs Sweden,5-4 Finland vs Sweden,Won,Nordic Football Championship 1933-1936
92,92,06 Jun 1935 19:00 (+2:00),06-06-1935,"Helsinki, Töölön Pallokenttä",Finland,4-1 Finland vs Latvia,4-1 Finland vs Latvia,Won,Friendly International
93,93,12 Jun 1935 19:15 (+1:00),12-06-1935,"Stockholm, Stockholms Olympiastadion",Sweden,2-2 Sweden vs Finland,2-2 Finland vs Sweden,Draw,Nordic Football Championship 1933-1936
94,94,07 Aug 1935 18:30 (+2:00),07-08-1935,"Helsinki, Töölön Pallokenttä",Finland,2-2 Finland vs Estonia,2-2 Finland vs Estonia,Draw,Friendly International
95,95,18 Aug 1935 16:00 (+1:00),18-08-1935,"Munich, 1860 Heinrich Zisch Stadion",Germany,6-0 Germany vs Finland,0-6 Finland vs Germany,Lost,Friendly International
96,96,08 Sep 1935 13:00 (+2:00),08-09-1935,"Helsinki, Töölön Pallokenttä",Finland,1-5 Finland vs Norway,1-5 Finland vs Norway,Lost,Nordic Football Championship 1933-1936
97,97,06 Oct 1935 13:30 (+1:00),06-10-1935,"Copenhagen, Københavns Idrætspark",Denmark,5-1 Denmark vs Finland,1-5 Finland vs Denmark,Lost,Nordic Football Championship 1933-1936
98,98,30 Jun 1936 19:00 (+2:00),30-06-1936,"Helsinki, Töölön Pallokenttä",Finland,1-4 Finland vs Denmark,1-4 Finland vs Denmark,Lost,Nordic Football Championship 1933-1936
99,99,06 Aug 1936 17:30 (+1:00),06-08-1936,"Berlin, Stadion am Gesundbrunnen (Plumpe)",Germany,7-3 Peru vs Finland,3-7 Finland vs Peru,Lost,"XI. Olympic Games Final Tournament 1936, First round"
100,100,20 Aug 1936 18:00 (+2:00),20-08-1936,"Tallinn, Kadrioru Staadion",Estonia,2-2 Estonia vs Finland,2-2 Finland vs Estonia,Draw,Friendly International
101,101,06 Sep 1936 13:15 (+1:00),06-09-1936,"Aker, Ullevaal Stadion",Norway,0-2 Norway vs Finland,2-0 Finland vs Norway,Won,Nordic Football Championship 1933-1936
102,102,27 Sep 1936 13:00 (+2:00),27-09-1936,"Helsinki, Töölön Pallokenttä",Finland,1-2 Finland vs Sweden,1-2 Finland vs Sweden,Lost,Nordic Football Championship 1933-1936
103,103,20 May 1937 18:30 (+2:00),20-05-1937,"Helsinki, Töölön Pallokenttä",Finland,0-8 Finland vs England,0-8 Finland vs England,Lost,Friendly International
104,104,16 Jun 1937 19:30 (+1:00),16-06-1937,"Solna, Råsunda Fotbollstadion",Sweden,4-0 Sweden vs Finland,0-4 Finland vs Sweden,Lost,"1938 FIFA World Cup Qualification, Nordic Football Championship 1937-1947, Group 1"
105,105,29 Jun 1937 19:00 (+2:00),29-06-1937,"Helsinki, Töölön Pallokenttä",Finland,0-2 Finland vs Germany,0-2 Finland vs Germany,Lost,"1938 FIFA World Cup Qualification, Group 1"
106,106,19 Aug 1937 18:00 (+2:00),19-08-1937,"Turku, Urheilupuisto",Finland,0-1 Finland vs Estonia,0-1 Finland vs Estonia,Lost,"1938 FIFA World Cup Qualification, Group 1"
107,107,05 Sep 1937 12:30 (+2:00),05-09-1937,"Helsinki, Töölön Pallokenttä",Finland,0-2 Finland vs Norway,0-2 Finland vs Norway,Lost,Nordic Football Championship 1937-1947
108,108,17 Oct 1937 13:30 (+1:00),17-10-1937,"Copenhagen, Københavns Idrætspark",Denmark,2-1 Denmark vs Finland,1-2 Finland vs Denmark,Lost,Nordic Football Championship 1937-1947
109,109,15 Jun 1938 19:30 (+1:00),15-06-1938,"Solna, Råsunda Fotbollstadion",Sweden,2-0 Sweden vs Finland,0-2 Finland vs Sweden,Lost,Friendly International
110,110,17 Jun 1938 19:30 (+1:00),17-06-1938,"Aker, Ullevaal Stadion",Norway,9-0 Norway vs Finland,0-9 Finland vs Norway,Lost,Nordic Football Championship 1937-1947
111,111,04 Jul 1938 19:00 (+2:00),04-07-1938,"Helsinki, Helsingin Olympiastadion",Finland,2-4 Finland vs Sweden,2-4 Finland vs Sweden,Lost,Nordic Football Championship 1937-1947
112,112,17 Aug 1938 18:30 (+2:00),17-08-1938,"Tallinn, Kadrioru Staadion",Estonia,1-3 Estonia vs Finland,3-1 Finland vs Estonia,Won,Friendly International
113,113,31 Aug 1938 18:00 (+2:00),31-08-1938,"Helsinki, Töölön Pallokenttä",Finland,2-1 Finland vs Denmark,2-1 Finland vs Denmark,Won,Nordic Football Championship 1937-1947
114,114,18 Sep 1938 14:00 (+2:00),18-09-1938,"Helsinki, Helsingin Olympiastadion",Finland,3-1 Finland vs Lithuania,3-1 Finland vs Lithuania,Won,Friendly International
115,115,09 Jun 1939 19:30 (+1:00),09-06-1939,"Solna, Råsunda Fotbollstadion",Sweden,5-1 Sweden vs Finland,1-5 Finland vs Sweden,Lost,Nordic Football Championship 1937-1947
116,116,15 Jun 1939 19:00 (+1:00),15-06-1939,"Copenhagen, Københavns Idrætspark",Denmark,5-0 Denmark vs Finland,0-5 Finland vs Denmark,Lost,"Dansk Boldspil-Union 50th Anniversary Tournament, Semifinal"
117,117,20 Jul 1939 19:00 (+2:00),20-07-1939,"Helsinki, Helsingin Olympiastadion",Finland,2-3 Finland vs Italy,2-3 Finland vs Italy,Lost,Friendly International
118,118,04 Aug 1939 19:00 (+2:00),04-08-1939,"Helsinki, Helsingin Olympiastadion",Finland,4-2 Finland vs Estonia,4-2 Finland vs Estonia,Won,Friendly International
119,119,03 Sep 1939 17:00 (+2:00),03-09-1939,"Helsinki, Helsingin Olympiastadion",Finland,1-2 Finland vs Norway,1-2 Finland vs Norway,Lost,Nordic Football Championship 1937-1947
120,120,17 Sep 1939 13:30 (+1:00),17-09-1939,"Copenhagen, Københavns Idrætspark",Denmark,8-1 Denmark vs Finland,1-8 Finland vs Denmark,Lost,Nordic Football Championship 1937-1947
121,121,24 Sep 1939 14:00 (+2:00),24-09-1939,"Helsinki, Helsingin Olympiastadion",Finland,0-3 Finland vs Latvia,0-3 Finland vs Latvia,Lost,Friendly International
122,122,29 Aug 1940 18:10 (+2:00),29-08-1940,"Helsinki, Helsingin Olympiastadion",Finland,2-3 Finland vs Sweden,2-3 Finland vs Sweden,Lost,Friendly International
123,123,01 Sep 1940 15:30 (+2:00),01-09-1940,"Leipzig, Probstheidaer Stadion",Germany,13-0 Germany vs Finland,0-13 Finland vs Germany,Lost,Friendly International
124,124,22 Sep 1940 14:00 (+1:00),22-09-1940,"Solna, Råsunda Fotbollstadion",Sweden,5-0 Sweden vs Finland,0-5 Finland vs Sweden,Lost,Friendly International
125,125,05 Oct 1941 14:00 (+2:00),05-10-1941,"Helsinki, Helsingin Olympiastadion",Finland,0-6 Finland vs Germany,0-6 Finland vs Germany,Lost,Friendly International
126,126,15 Sep 1943 17:30 (+2:00),15-09-1943,"Helsinki, Helsingin Olympiastadion",Finland,0-3 Finland vs Hungary,0-3 Finland vs Hungary,Lost,Friendly International
127,127,03 Oct 1943 14:00 (+2:00),03-10-1943,"Helsinki, Helsingin Olympiastadion",Finland,1-1 Finland vs Sweden,1-1 Finland vs Sweden,Draw,Friendly International
128,128,26 Aug 1945 15:00 (+1:00),26-08-1945,"Gothenburg, Ullevi Stadion",Sweden,7-2 Sweden vs Finland,2-7 Finland vs Sweden,Lost,Friendly International
129,129,30 Sep 1945 15:00 (+2:00),30-09-1945,"Helsinki, Helsingin Olympiastadion",Finland,1-6 Finland vs Sweden,1-6 Finland vs Sweden,Lost,Friendly International
130,130,28 Jun 1946 18:00 (+1:00),28-06-1946,"Bergen, Brann Stadion",Norway,12-0 Norway vs Finland,0-12 Finland vs Norway,Lost,Friendly International
131,131,01 Sep 1946 14:00 (+2:00),01-09-1946,"Helsinki, Helsingin Olympiastadion",Finland,2-5 Finland vs Denmark,2-5 Finland vs Denmark,Lost,Friendly International
132,132,15 Sep 1946 13:15 (+2:00),15-09-1946,"Helsinki, Helsingin Olympiastadion",Finland,0-7 Finland vs Sweden,0-7 Finland vs Sweden,Lost,Friendly International
133,133,26 Jun 1947 19:00 (+2:00),26-06-1947,"Helsinki, Helsingin Olympiastadion",Finland,1-2 Finland vs Norway,1-2 Finland vs Norway,Lost,"Suomen Palloliitto 40th Anniversary Tournament, Semifinal"
134,134,24 Aug 1947 13:30 (+1:00),24-08-1947,"Borås, Ryavallen",Sweden,7-0 Sweden vs Finland,0-7 Finland vs Sweden,Lost,Nordic Football Championship 1937-1947
135,135,07 Sep 1947 15:00 (+2:00),07-09-1947,"Helsinki, Helsingin Olympiastadion",Finland,3-3 Finland vs Norway,3-3 Finland vs Norway,Draw,Nordic Football Championship 1937-1947
136,136,17 Sep 1947 15:30 (+2:00),17-09-1947,"Helsinki, Helsingin Olympiastadion",Finland,1-4 Finland vs Poland,1-4 Finland vs Poland,Lost,Friendly International
137,137,05 Oct 1947 13:30 (+1:00),05-10-1947,"Aarhus, Aarhus Stadion",Denmark,4-1 Denmark vs Finland,1-4 Finland vs Denmark,Lost,Nordic Football Championship 1937-1947
138,138,15 Jun 1948 19:00 (+2:00),15-06-1948,"Helsinki, Helsingin Olympiastadion",Finland,0-3 Finland vs Denmark,0-3 Finland vs Denmark,Lost,Nordic Football Championship 1948-1951
139,139,02 Jul 1948 20:30,02-07-1948,"Reykjavík, Melavöllur",Iceland,2-0 Iceland vs Finland,0-2 Finland vs Iceland,Lost,Friendly International
140,140,05 Sep 1948 13:15 (+1:00),05-09-1948,"Oslo, Ullevaal Stadion",Norway,2-0 Norway vs Finland,0-2 Finland vs Norway,Lost,Nordic Football Championship 1948-1951
141,141,19 Sep 1948 14:00 (+2:00),19-09-1948,"Helsinki, Helsingin Olympiastadion",Finland,2-2 Finland vs Sweden,2-2 Finland vs Sweden,Draw,Nordic Football Championship 1948-1951
142,142,17 Oct 1948 14:00 (+1:00),17-10-1948,"Warsaw, Stadion Wojska Polskiego",Poland,1-0 Poland vs Finland,0-1 Finland vs Poland,Lost,Friendly International
143,143,15 May 1949 14:00 (+2:00),15-05-1949,"Helsinki, Helsingin Olympiastadion",Finland,0-4 Finland vs England*,0-4 Finland vs England*,Lost,Friendly International
144,144,16 Jun 1949 18:00 (+2:00),16-06-1949,"Helsinki, Helsingin Olympiastadion",Finland,1-4 Finland vs Netherlands,1-4 Finland vs Netherlands,Lost,Friendly International
145,145,08 Jul 1949 19:00 (+2:00),08-07-1949,"Helsinki, Helsingin Olympiastadion",Finland,1-1 Finland vs Norway,1-1 Finland vs Norway,Draw,Nordic Football Championship 1948-1951
146,146,08 Sep 1949 18:30 (+1:00),08-09-1949,"Dublin, Dalymount Park",Ireland,3-0 Rep. of Ireland vs Finland,0-3 Finland vs Rep. of Ireland,Lost,"1950 FIFA World Cup Qualification, Group 5"
147,147,11 Sep 1949 13:30 (+1:00),11-09-1949,"Copenhagen, Københavns Idrætspark",Denmark,0-2 Denmark vs Finland,2-0 Finland vs Denmark,Won,Nordic Football Championship 1948-1951
