Serial,Match Number,Date,Date_STD,Venue,Venue_Country,Score,Score_Transform,Result,Match_Type
682,682,17 Oct 2007 20:30 (+3:00),17-10-2007,"Helsinki, Helsingin Olympiastadion",Finland,0-0 Finland vs Spain,0-0 Finland vs Spain,Draw,Friendly International
683,683,17 Nov 2007 16:00 (+2:00),17-11-2007,"Helsinki, Helsingin Olympiastadion",Finland,2-1 Finland vs Azerbaijan,2-1 Finland vs Azerbaijan,Won,"UEFA Euro 2008 Qualifying, Group A"
684,684,21 Nov 2007 19:45,21-11-2007,"Porto, Estádio do Dragão",Portugal,0-0 Portugal vs Finland,0-0 Finland vs Portugal,Draw,"UEFA Euro 2008 Qualifying, Group A"
685,685,06 Feb 2008 21:00 (+2:00),06-02-2008,"Strovolos, G.S.P. Stadium",Cyprus,1-2 Finland vs Greece,1-2 Finland vs Greece,Lost,Cyprus International Tournament 2008
686,686,26 Mar 2008 18:00 (+2:00),26-03-2008,"Sofia, National Stadium Vasil Levski",Bulgaria,2-1 Bulgaria vs Finland,1-2 Finland vs Bulgaria,Lost,Friendly International
687,687,29 May 2008 20:30 (+2:00),29-05-2008,"Duisburg, M.S.V. Arena",Germany,0-2 Finland vs Turkey,0-2 Finland vs Turkey,Lost,Friendly International
688,688,02 Jun 2008 19:00 (+3:00),02-06-2008,"Turku, Veritas Stadion",Finland,1-1 Finland vs Belarus,1-1 Finland vs Belarus,Draw,Friendly International
689,689,20 Aug 2008 19:00 (+3:00),20-08-2008,"Tampere, Tampereen (Ratinan) Stadion",Finland,2-0 Finland vs Israel,2-0 Finland vs Israel,Won,Friendly International
690,690,10 Sep 2008 20:30 (+3:00),10-09-2008,"Helsinki, Helsingin Olympiastadion",Finland,3-3 Finland vs Germany,3-3 Finland vs Germany,Draw,"2010 FIFA World Cup Qualification, Group 4"
691,691,11 Oct 2008 17:00 (+3:00),11-10-2008,"Helsinki, Helsingin Olympiastadion",Finland,1-0 Finland vs Azerbaijan,1-0 Finland vs Azerbaijan,Won,"2010 FIFA World Cup Qualification, Group 4"
692,692,15 Oct 2008 19:00 (+4:00),15-10-2008,"Moscow, Central Stadium Lokomotiv",Russia,3-0 Russia vs Finland,0-3 Finland vs Russia,Lost,"2010 FIFA World Cup Qualification, Group 4"
693,693,19 Nov 2008 20:30 (+1:00),19-11-2008,"St. Gallen, A.F.G. Arena",Switzerland,1-0 Switzerland vs Finland,0-1 Finland vs Switzerland,Lost,Friendly International
694,694,04 Feb 2009 19:20 (+9:00),04-02-2009,"Tokyo, National Olympic Stadium",Japan,5-1 Japan vs Finland,1-5 Finland vs Japan,Lost,Friendly International
695,695,11 Feb 2009 20:45,11-02-2009,"Loulé, Estádio Algarve",Portugal,1-0 Portugal vs Finland,0-1 Finland vs Portugal,Lost,Friendly International
696,696,28 Mar 2009 15:00,28-03-2009,"Cardiff, Millennium Stadium",United Kingdom (Wales),0-2 Wales vs Finland,2-0 Finland vs Wales,Won,"2010 FIFA World Cup Qualification, Group 4"
697,697,01 Apr 2009 19:00 (+2:00),01-04-2009,"Oslo, Ullevaal Stadion",Norway,3-2 Norway vs Finland,2-3 Finland vs Norway,Lost,Friendly International
698,698,06 Jun 2009 19:00 (+3:00),06-06-2009,"Helsinki, Helsingin Olympiastadion",Finland,2-1 Finland vs Liechtenstein,2-1 Finland vs Liechtenstein,Won,"2010 FIFA World Cup Qualification, Group 4"
699,699,10 Jun 2009 20:30 (+3:00),10-06-2009,"Helsinki, Helsingin Olympiastadion",Finland,0-3 Finland vs Russia,0-3 Finland vs Russia,Lost,"2010 FIFA World Cup Qualification, Group 4"
700,700,12 Aug 2009 20:00 (+2:00),12-08-2009,"Solna, Råsunda Fotbollstadion",Sweden,1-0 Sweden vs Finland,0-1 Finland vs Sweden,Lost,Friendly International
701,701,05 Sep 2009 20:00 (+5:00),05-09-2009,"Lankaran, Şəhər Stadionu",Azerbaijan,1-2 Azerbaijan vs Finland,2-1 Finland vs Azerbaijan,Won,"2010 FIFA World Cup Qualification, Group 4"
702,702,09 Sep 2009 19:30 (+2:00),09-09-2009,"Vaduz, Rheinpark Stadion",Liechtenstein,1-1 Liechtenstein vs Finland,1-1 Finland vs Liechtenstein,Draw,"2010 FIFA World Cup Qualification, Group 4"
703,703,10 Oct 2009 17:00 (+3:00),10-10-2009,"Helsinki, Helsingin Olympiastadion",Finland,2-1 Finland vs Wales,2-1 Finland vs Wales,Won,"2010 FIFA World Cup Qualification, Group 4"
704,704,14 Oct 2009 18:00 (+2:00),14-10-2009,"Hamburg, H.S.H. Nordbank Arena",Germany,1-1 Germany vs Finland,1-1 Finland vs Germany,Draw,"2010 FIFA World Cup Qualification, Group 4"
705,705,18 Jan 2010 15:30 (+1:00),18-01-2010,"Málaga, Estadio Ciudad de Málaga",Spain,2-0 South Korea vs Finland,0-2 Finland vs South Korea,Lost,Friendly International
706,706,03 Mar 2010 19:00 (+1:00),03-03-2010,"Attard, Ta`Qali National Stadium",Malta,1-2 Malta vs Finland,2-1 Finland vs Malta,Won,Friendly International
707,707,21 May 2010 19:00 (+3:00),21-05-2010,"Tallinn, A. Le Coq Arena",Estonia,2-0 Estonia vs Finland,0-2 Finland vs Estonia,Lost,Friendly International
708,708,29 May 2010 17:00 (+2:00),29-05-2010,"Kielce, Stadion Miejski Arena Kielc",Poland,0-0 Poland vs Finland,0-0 Finland vs Poland,Draw,Friendly International
709,709,11 Aug 2010 18:00 (+2:00),11-08-2010,"Turku, Veritas Stadion",Finland,1-0 Finland vs Belgium,1-0 Finland vs Belgium,Won,Friendly International
710,710,03 Sep 2010 19:30 (+3:00),03-09-2010,"Chișinău, Stadionul Zimbru",Moldova,2-0 Moldova vs Finland,0-2 Finland vs Moldova,Lost,"UEFA Euro 2012 Qualifying, Group E"
711,711,07 Sep 2010 20:30 (+2:00),07-09-2010,"Rotterdam, Stadion de Kuip",Netherlands,2-1 Netherlands vs Finland,1-2 Finland vs Netherlands,Lost,"UEFA Euro 2012 Qualifying, Group E"
712,712,12 Oct 2010 18:30 (+3:00),12-10-2010,"Helsinki, Helsingin Olympiastadion",Finland,1-2 Finland vs Hungary,1-2 Finland vs Hungary,Lost,"UEFA Euro 2012 Qualifying, Group E"
713,713,17 Nov 2010 18:30 (+2:00),17-11-2010,"Helsinki, Helsingin Olympiastadion",Finland,8-0 Finland vs San Marino,8-0 Finland vs San Marino,Won,"UEFA Euro 2012 Qualifying, Group E"
714,714,09 Feb 2011 20:30 (+1:00),09-02-2011,"Ghent, Jules Ottenstadion",Belgium,1-1 Belgium vs Finland,1-1 Finland vs Belgium,Draw,Friendly International
715,715,29 Mar 2011 20:45 (+1:00),29-03-2011,"Aveiro, Estádio Municipal de Aveiro",Portugal,2-0 Portugal vs Finland,0-2 Finland vs Portugal,Lost,Friendly International
716,716,03 Jun 2011 20:30 (+2:00),03-06-2011,"Serravalle, Stadio Olimpico",San Marino,0-1 San Marino vs Finland,1-0 Finland vs San Marino,Won,"UEFA Euro 2012 Qualifying, Group E"
717,717,07 Jun 2011 20:00 (+2:00),07-06-2011,"Solna, Råsunda Fotbollstadion",Sweden,5-0 Sweden vs Finland,0-5 Finland vs Sweden,Lost,"UEFA Euro 2012 Qualifying, Group E"
718,718,10 Aug 2011 19:30 (+3:00),10-08-2011,"Rīga, Skonto Stadium",Latvia,0-2 Latvia vs Finland,2-0 Finland vs Latvia,Won,Friendly International
719,719,02 Sep 2011 18:30 (+3:00),02-09-2011,"Helsinki, Helsingin Olympiastadion",Finland,4-1 Finland vs Moldova,4-1 Finland vs Moldova,Won,"UEFA Euro 2012 Qualifying, Group E"
720,720,06 Sep 2011 20:00 (+3:00),06-09-2011,"Helsinki, Helsingin Olympiastadion",Finland,0-2 Finland vs Netherlands,0-2 Finland vs Netherlands,Lost,"UEFA Euro 2012 Qualifying, Group E"
721,721,07 Oct 2011 19:15 (+3:00),07-10-2011,"Helsinki, Helsingin Olympiastadion",Finland,1-2 Finland vs Sweden,1-2 Finland vs Sweden,Lost,"UEFA Euro 2012 Qualifying, Group E"
722,722,11 Oct 2011 20:00 (+2:00),11-10-2011,"Budapest, Puskás Ferenc Stadion",Hungary,0-0 Hungary vs Finland,0-0 Finland vs Hungary,Draw,"UEFA Euro 2012 Qualifying, Group E"
