Serial,Match Number,Date,Date_STD,Venue,Venue_Country,Score,Score_Transform,Result,Match_Type
30,124,22 Sep 1940 14:00 (+1:00),22-09-1940,Solna Råsunda Fotbollstadion,Sweden,5-0 Sweden vs Finland,0-5 Finland vs Sweden,Lost,Friendly International
31,127,03 Oct 1943 14:00 (+2:00),03-10-1943,Helsinki Helsingin Olympiastadion,Finland,1-1 Finland vs Sweden,1-1 Finland vs Sweden,Tie,Friendly International
32,128,26 Aug 1945 15:00 (+1:00),26-08-1945,Gothenburg Ullevi Stadion,Sweden,7-2 Sweden vs Finland,2-7 Finland vs Sweden,Lost,Friendly International
33,129,30 Sep 1945 15:00 (+2:00),30-09-1945,Helsinki Helsingin Olympiastadion,Finland,1-6 Finland vs Sweden,1-6 Finland vs Sweden,Lost,Friendly International
34,132,15 Sep 1946 13:15 (+2:00),15-09-1946,Helsinki Helsingin Olympiastadion,Finland,0-7 Finland vs Sweden,0-7 Finland vs Sweden,Lost,Friendly International
35,134,24 Aug 1947 13:30 (+1:00),24-08-1947,Borås Ryavallen,Sweden,7-0 Sweden vs Finland,0-7 Finland vs Sweden,Lost,Nordic Football Championship 1937-1947
36,141,19 Sep 1948 14:00 (+2:00),19-09-1948,Helsinki Helsingin Olympiastadion,Finland,2-2 Finland vs Sweden,2-2 Finland vs Sweden,Tie,Nordic Football Championship 1948-1951
37,148,02 Oct 1949 13:30 (+1:00),02-10-1949,Malmö Malmö Idrottsplats,Sweden,8-1 Sweden vs Finland,1-8 Finland vs Sweden,Lost,Nordic Football Championship 1948-1951
38,154,24 Sep 1950 14:00 (+2:00),24-09-1950,Helsinki Helsingin Olympiastadion,Finland,0-1 Finland vs Sweden,0-1 Finland vs Sweden,Lost,Nordic Football Championship 1948-1951
39,157,02 Sep 1951 15:00 (+2:00),02-09-1951,Solna Råsunda Fotbollstadion,Sweden,3-2 Sweden vs Finland,2-3 Finland vs Sweden,Lost,Nordic Football Championship 1948-1951
40,163,13 Jun 1952,13-06-1952,Oslo Ullevaal Stadion,Norway,3-1 Finland vs Sweden,1-3 Finland vs Sweden,Lost,Norges Fotballforbund 50th Anniversary Match Final
41,168,21 Sep 1952 14:00 (+2:00),21-09-1952,Helsinki Helsingin Olympiastadion,Finland,1-8 Finland vs Sweden,8-1 Finland vs Sweden,Won,Nordic Football Championship 1952-1955
42,171,05 Aug 1953 18:30 (+2:00),05-08-1953,Helsinki Helsingin Olympiastadion,Finland,3-3 Finland vs Sweden,3-3 Finland vs Sweden,Tie,1954 FIFA World Cup Qualification Group 2
43,172,16 Aug 1953 15:00 (+1:00),16-08-1953,Solna Råsunda Fotbollstadion,Sweden,4-0 Sweden vs Finland,0-4 Finland vs Sweden,Lost,1954 FIFA World Cup Qualification Nordic Football Championship 1952-1955 Group 2
44,177,04 Jun 1954 19:00 (+1:00),04-06-1954,Gothenburg Ullevi Stadion,Sweden,6-0 Sweden vs Finland,0-6 Finland vs Sweden,Lost,Svenska Fotbollförbundet 50th Anniversary Tournament Semifinal
45,179,15 Aug 1954 17:00 (+2:00),15-08-1954,Helsinki Helsingin Olympiastadion,Finland,1-10 Finland vs Sweden,1-10 Finland vs Sweden,Lost,Nordic Football Championship 1952-1955
46,184,28 Aug 1955 13:30 (+1:00),28-08-1955,Hälsingborg Olympia Stadion,Sweden,3-0 Sweden vs Finland,0-3 Finland vs Sweden,Lost,Nordic Football Championship 1952-1955
47,188,10 Jun 1956 14:00 (+2:00),10-06-1956,Helsinki Helsingin Olympiastadion,Finland,1-3 Finland vs Sweden,1-3 Finland vs Sweden,Lost,Nordic Football Championship 1956-1959
48,194,19 Jun 1957 19:00 (+2:00),19-06-1957,Helsinki Helsingin Olympiastadion,Finland,1-5 Finland vs Sweden,1-5 Finland vs Sweden,Lost,Suomen Palloliitto 50th Anniversary Tournament Final
49,200,22 Sep 1957 14:00 (+1:00),22-09-1957,Solna Råsunda Fotbollstadion,Sweden,5-1 Sweden vs Finland,1-5 Finland vs Sweden,Lost,Nordic Football Championship 1956-1959
50,204,20 Aug 1958 18:15 (+2:00),20-08-1958,Helsinki Helsingin Olympiastadion,Finland,1-7 Finland vs Sweden,1-7 Finland vs Sweden,Lost,Nordic Football Championship 1956-1959
51,208,02 Aug 1959 18:00 (+1:00),02-08-1959,Malmö Malmö Stadion,Sweden,3-1 Sweden vs Finland,1-3 Finland vs Sweden,Lost,Nordic Football Championship 1956-1959
52,215,22 Jun 1960 19:00 (+2:00),22-06-1960,Helsinki Helsingin Olympiastadion,Finland,0-3 Finland vs Sweden,3-0 Finland vs Sweden,Won,Nordic Football Championship 1960-1963
53,222,09 Aug 1961 18:30 (+1:00),09-08-1961,Norrköping Norrköpings Idrottspark,Sweden,4-0 Sweden vs Finland,0-4 Finland vs Sweden,Lost,Nordic Football Championship 1960-1963
54,226,19 Jun 1962 19:00 (+2:00),19-06-1962,Helsinki Helsingin Olympiastadion,Finland,0-3 Finland vs Sweden,3-0 Finland vs Sweden,Won,Nordic Football Championship 1960-1963
